year,anomaly,gcm,scenario
1981,-0.009124849922955,CESM1-BGC,rcp45
1982,-0.0828248485922813,CESM1-BGC,rcp45
1983,-0.448424845933914,CESM1-BGC,rcp45
1984,-0.341827839612961,CESM1-BGC,rcp45
1985,-0.319030851125717,CESM1-BGC,rcp45
1986,-0.287902861833572,CESM1-BGC,rcp45
1987,-0.256499856710434,CESM1-BGC,rcp45
1988,-0.0399778485298157,CESM1-BGC,rcp45
1989,-0.0433958508074284,CESM1-BGC,rcp45
1990,-0.0803528502583504,CESM1-BGC,rcp45
1991,-0.199859842658043,CESM1-BGC,rcp45
1992,-0.459411859512329,CESM1-BGC,rcp45
1993,-0.356719851493835,CESM1-BGC,rcp45
1994,-0.206756845116615,CESM1-BGC,rcp45
1995,-0.022155849263072,CESM1-BGC,rcp45
1996,-0.0018308500293642,CESM1-BGC,rcp45
1997,0.209411144256592,CESM1-BGC,rcp45
1998,0.139648154377937,CESM1-BGC,rcp45
1999,0.214966148138046,CESM1-BGC,rcp45
2000,0.208130151033401,CESM1-BGC,rcp45
2001,0.130310148000717,CESM1-BGC,rcp45
2002,0.0957031473517418,CESM1-BGC,rcp45
2003,0.175445154309273,CESM1-BGC,rcp45
2004,0.270813137292862,CESM1-BGC,rcp45
2005,0.51043713092804,CESM1-BGC,rcp45
2006,0.393616139888763,CESM1-BGC,rcp45
2007,0.343078136444092,CESM1-BGC,rcp45
2008,0.325531154870987,CESM1-BGC,rcp45
2009,0.448669135570526,CESM1-BGC,rcp45
2010,0.40573114156723,CESM1-BGC,rcp45
2011,0.533111155033112,CESM1-BGC,rcp45
2012,0.499054163694382,CESM1-BGC,rcp45
2013,0.423157155513763,CESM1-BGC,rcp45
2014,0.566681146621704,CESM1-BGC,rcp45
2015,0.513946175575256,CESM1-BGC,rcp45
2016,0.468567162752151,CESM1-BGC,rcp45
2017,0.524292171001434,CESM1-BGC,rcp45
2018,0.514282166957855,CESM1-BGC,rcp45
2019,0.508697152137756,CESM1-BGC,rcp45
2020,0.499695152044296,CESM1-BGC,rcp45
2021,0.677429139614105,CESM1-BGC,rcp45
2022,0.764862179756165,CESM1-BGC,rcp45
2023,0.704223155975342,CESM1-BGC,rcp45
2024,0.751312136650085,CESM1-BGC,rcp45
2025,0.727783143520355,CESM1-BGC,rcp45
2026,0.814209163188934,CESM1-BGC,rcp45
2027,0.77630615234375,CESM1-BGC,rcp45
2028,0.817200124263763,CESM1-BGC,rcp45
2029,0.674896121025085,CESM1-BGC,rcp45
2030,0.724853157997131,CESM1-BGC,rcp45
2031,0.733948171138763,CESM1-BGC,rcp45
2032,0.801269173622131,CESM1-BGC,rcp45
2033,0.98468017578125,CESM1-BGC,rcp45
2034,0.907654166221619,CESM1-BGC,rcp45
2035,0.937530159950256,CESM1-BGC,rcp45
2036,0.987976133823395,CESM1-BGC,rcp45
2037,0.994568169116974,CESM1-BGC,rcp45
2038,0.813202142715454,CESM1-BGC,rcp45
2039,0.803528130054474,CESM1-BGC,rcp45
2040,0.958069145679474,CESM1-BGC,rcp45
2041,1.14468419551849,CESM1-BGC,rcp45
2042,1.08898913860321,CESM1-BGC,rcp45
2043,1.12429809570312,CESM1-BGC,rcp45
2044,1.15808117389679,CESM1-BGC,rcp45
2045,1.12844812870026,CESM1-BGC,rcp45
2046,1.17962610721588,CESM1-BGC,rcp45
2047,1.18283116817474,CESM1-BGC,rcp45
2048,1.12579309940338,CESM1-BGC,rcp45
2049,1.12258911132812,CESM1-BGC,rcp45
2050,1.32400512695312,CESM1-BGC,rcp45
2051,1.40692114830017,CESM1-BGC,rcp45
2052,1.23754918575287,CESM1-BGC,rcp45
2053,1.28463709354401,CESM1-BGC,rcp45
2054,1.32467615604401,CESM1-BGC,rcp45
2055,1.38644409179688,CESM1-BGC,rcp45
2056,1.40264916419983,CESM1-BGC,rcp45
2057,1.49935913085938,CESM1-BGC,rcp45
2058,1.61367809772491,CESM1-BGC,rcp45
2059,1.28781116008759,CESM1-BGC,rcp45
2060,1.34118616580963,CESM1-BGC,rcp45
2061,1.44036912918091,CESM1-BGC,rcp45
2062,1.4624330997467,CESM1-BGC,rcp45
2063,1.4147641658783,CESM1-BGC,rcp45
2064,1.57605016231537,CESM1-BGC,rcp45
2065,1.57644617557526,CESM1-BGC,rcp45
2066,1.48382616043091,CESM1-BGC,rcp45
2067,1.61087012290955,CESM1-BGC,rcp45
2068,1.56225609779358,CESM1-BGC,rcp45
2069,1.3852231502533,CESM1-BGC,rcp45
2070,1.39959716796875,CESM1-BGC,rcp45
2071,1.54449415206909,CESM1-BGC,rcp45
2072,1.49176013469696,CESM1-BGC,rcp45
2073,1.40429711341858,CESM1-BGC,rcp45
2074,1.59393310546875,CESM1-BGC,rcp45
2075,1.62847912311554,CESM1-BGC,rcp45
2076,1.55908215045929,CESM1-BGC,rcp45
2077,1.59002709388733,CESM1-BGC,rcp45
2078,1.55487012863159,CESM1-BGC,rcp45
2079,1.60537719726562,CESM1-BGC,rcp45
2080,1.74230909347534,CESM1-BGC,rcp45
2081,1.61795020103455,CESM1-BGC,rcp45
2082,1.53393518924713,CESM1-BGC,rcp45
2083,1.57849109172821,CESM1-BGC,rcp45
2084,1.58581519126892,CESM1-BGC,rcp45
2085,1.59286510944366,CESM1-BGC,rcp45
2086,1.60787916183472,CESM1-BGC,rcp45
